Timestamp,Open,High,Low,Close,Volume
2024-09-07 00:38:00,54023.75,54023.75,54023.75,54023.75,0.0004346
2024-09-07 00:39:00,54011.1,54011.1,54011.1,54011.1,0.024
2024-09-07 00:40:00,54013.98,54027.9,54013.98,54027.9,0.02914842
2024-09-07 00:41:00,54040.9,54040.9,54040.9,54040.9,0.03
2024-09-07 00:42:00,54047.26,54047.265,54040.995,54043.005,0.04004495
2024-09-07 00:43:00,54053.62,54053.63,54041.09,54045.11,0.0500899
2024-09-07 00:44:00,54043.35,54056.36,54043.35,54050.33,0.20423172
2024-09-07 00:45:00,54013.05,54013.05,54012.07,54012.07,0.11903732
2024-09-07 00:46:00,53998.83,54012.16,53998.83,54012.16,0.07895
2024-09-07 00:47:00,54013.5175,54024.0575,54012.645,54023.1475,0.0931637325
2024-09-07 00:48:00,54028.205,54035.955,54026.46,54034.135,0.107377465
2024-09-07 00:49:00,54042.8925,54047.8525,54040.275,54045.1225,0.1215911975
2024-09-07 00:50:00,54057.58,54059.75,54054.09,54056.11,0.13580493
2024-09-07 00:51:00,54059.53,54059.53,54057.08,54057.08,0.12733412
2024-09-07 00:52:00,54039.56,54045.69,54039.56,54045.69,0.02660524
2024-09-07 00:53:00,54020.215,54023.28,54009.365,54012.435,0.0912004
2024-09-07 00:54:00,54000.87,54000.87,53979.17,53979.18,0.15579556
2024-09-07 00:55:00,53963.04,53965.86,53963.04,53965.86,0.03581506
2024-09-07 00:56:00,53949.625,53952.19,53949.625,53951.66,0.06370253
2024-09-07 00:57:00,53936.21,53938.52,53936.21,53937.46,0.09159
2024-09-07 00:58:00,53933.542,53935.39,53930.806,53933.38,0.106449432
2024-09-07 00:59:00,53930.874,53932.26,53925.402,53929.3,0.121308864
2024-09-07 01:00:00,53928.206,53929.13,53919.998,53925.22,0.136168296
2024-09-07 01:01:00,53925.538,53926,53914.594,53921.14,0.151027728
2024-09-07 01:02:00,53922.87,53922.87,53909.19,53917.06,0.16588716
2024-09-07 01:03:00,53931.63,53952.14,53931.63,53952.14,0.02420744
2024-09-07 01:04:00,53959.43,54000.74,53959.43,53994.57,0.20781974
2024-09-07 01:05:00,53984.36,53984.36,53984.36,53984.36,0.024
2024-09-07 01:06:00,53980.58,53980.58,53980.58,53980.58,0.024
2024-09-07 01:07:00,53969.725,53977.24,53969.725,53977.24,0.072831075
2024-09-07 01:08:00,53958.87,53973.9,53958.87,53973.9,0.12166215
2024-09-07 01:09:00,53962.83,53962.83,53962.83,53962.83,0.044
2024-09-07 01:10:00,53952.27,53981.76,53952.27,53978.54,0.20989054
2024-09-07 01:11:00,53986.83,53996,53986.83,53996,0.02916683
2024-09-07 01:12:00,53945.3333333333,53957.4433333333,53944.2233333333,53957.4433333333,0.0760452233333333
